log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
-0.128002 0.682396 -0.222428 -0.464984 -5.396110 0.017136 4.793210 0.248444 0.233616 0.168631 0.000152 0.021078 0.032088 0.049966 0.054246 0.057931 0.034359 0.124160 0.128916 0.041137 0.122286 0.106481 0.257083 13.807315
-0.280264 0.946399 -0.222711 -0.603247 -5.421850 0.019515 5.375050 0.264183 0.257258 0.170117 0.000030 0.013973 0.032249 0.061075 0.039252 0.053841 0.057157 0.136092 0.140602 0.071269 0.119643 0.182073 0.223728 13.812506
0.047178 0.234512 -0.450455 -0.505950 -4.935860 0.003812 1.467490 6.704260 0.242143 0.150835 0.000052 0.016856 0.028561 0.069368 0.050558 0.051378 0.044222 0.129067 0.114107 0.048343 0.114359 0.136731 0.209967 13.821158
-0.029298 0.329990 -0.475917 -0.454926 -5.983250 0.005832 1.239810 8.228510 0.266314 0.162635 0.000337 0.016736 0.044000 0.052248 0.035127 0.049557 0.042573 0.130265 0.132840 0.051507 0.121265 0.146820 0.168696 13.827891
0.191788 0.268766 -0.376947 -0.921467 -4.620410 0.001840 1.120310 8.188260 0.208121 0.164827 0.000110 0.019311 0.027691 0.057477 0.058138 0.040956 0.044629 0.128471 0.128489 0.089065 0.111490 0.142910 0.235471 13.833396
0.058424 0.289643 -0.441108 -0.555962 -5.646180 0.003814 1.083270 8.104150 0.262145 0.148295 0.000017 0.017625 0.028791 0.077696 0.051308 0.051930 0.037263 0.133062 0.132528 0.062743 0.126309 0.138146 0.190021 13.837813
0.254867 -0.299541 -0.488232 -0.440325 -5.459300 0.007588 1.927340 0.808544 0.177839 0.159736 0.000157 0.018179 0.045879 0.066869 0.037854 0.054219 0.036722 0.114805 0.136880 0.051379 0.097875 0.153483 0.176063 13.842964
-0.147918 0.466156 -0.468490 -0.377586 -5.631760 0.006416 1.479590 9.280980 0.244295 0.166425 0.000335 0.016333 0.042554 0.056736 0.038781 0.054621 0.036605 0.131415 0.125854 0.052638 0.119989 0.126720 0.229278 13.845676
-0.059257 0.384491 -0.488340 -0.549697 -5.396960 0.008321 1.365310 8.985580 0.251776 0.161498 0.000302 0.018060 0.045537 0.049706 0.035570 0.046190 0.040776 0.137131 0.119391 0.051098 0.138891 0.125647 0.177403 13.850256
0.156385 0.167214 -0.388793 -0.595573 -5.401350 0.000842 1.057210 9.428460 0.201736 0.160714 0.000075 0.020270 0.033067 0.057196 0.059297 0.043066 0.038382 0.125125 0.137576 0.057405 0.105584 0.147545 0.206363 13.853560
0.055129 0.242566 -0.463673 -0.606574 -5.115980 0.007069 1.012130 9.095880 0.286268 0.158530 0.000312 0.018699 0.030134 0.052760 0.040961 0.047740 0.048221 0.133279 0.117950 0.052377 0.127608 0.145131 0.148663 13.860114
-0.355324 0.873763 -0.394386 -0.221952 -5.968390 0.022787 5.035870 0.152842 0.240489 0.164769 0.000167 0.021875 0.041141 0.056282 0.030376 0.065631 0.034651 0.129800 0.130753 0.057089 0.126238 0.117820 0.215930 13.865723
-0.131552 0.433872 -0.521688 -0.430326 -5.678700 0.003318 1.219690 9.583840 0.239603 0.165076 0.000150 0.023449 0.045668 0.054557 0.031759 0.056239 0.033171 0.129036 0.124891 0.041149 0.121550 0.157451 0.187955 13.871040
0.048646 0.363176 -0.379216 -0.603946 -5.190130 0.003936 1.332030 9.172320 0.222020 0.151199 0.000392 0.015911 0.028257 0.061441 0.049730 0.062797 0.038005 0.117648 0.128039 0.049098 0.102263 0.124113 0.198166 13.875324
-0.478360 1.004670 -0.406194 -0.377766 -4.992450 0.021838 5.659400 0.200240 0.224611 0.182770 0.000082 0.015534 0.041727 0.065926 0.040467 0.053571 0.037053 0.148616 0.132605 0.037653 0.104975 0.162208 0.303389 13.881424
-0.347972 0.875699 -0.395283 -0.515050 -5.242360 0.017094 5.320780 0.394692 0.254940 0.176538 0.000132 0.016827 0.043293 0.071999 0.029883 0.059412 0.037568 0.135727 0.116656 0.075534 0.125374 0.172228 0.219148 13.885538
0.238749 0.164733 -0.368989 -0.884044 -4.501140 0.009942 1.372280 6.298810 0.216437 0.152501 0.000135 0.019715 0.034729 0.064680 0.047613 0.049530 0.039700 0.120970 0.119182 0.066828 0.122176 0.083333 0.194516 13.890312
0.098498 0.193466 -0.420900 -0.556391 -5.180740 0.012514 1.517330 7.530760 0.223852 0.142820 0.000210 0.016511 0.035599 0.068425 0.057057 0.049846 0.035546 0.112651 0.130920 0.060005 0.100944 0.141334 0.202429 13.894503
0.041911 0.094516 -0.515087 -0.363610 -5.477680 0.010511 1.259750 7.523300 0.199317 0.142122 0.000150 0.018360 0.043866 0.061685 0.039177 0.048847 0.040383 0.126820 0.125547 0.039284 0.095223 0.125926 0.206139 13.899600
