log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
0.048646 0.363176 -0.379216 -0.603946 -5.190130 0.003936 1.332030 9.172320 0.222020 0.151199 0.000677 0.012837 0.032929 0.093634 0.062598 0.062402 0.038040 0.119587 0.136241 0.052390 0.108753 0.131606 0.217919 15.858800
-0.478360 1.004670 -0.406194 -0.377766 -4.992450 0.021838 5.659400 0.200240 0.224611 0.182770 0.000820 0.016640 0.042304 0.076036 0.038845 0.064736 0.041322 0.135070 0.124997 0.061826 0.120073 0.150620 0.260922 15.971300
-0.347972 0.875699 -0.395283 -0.515050 -5.242360 0.017094 5.320780 0.394692 0.254940 0.176538 0.000422 0.022275 0.044449 0.066502 0.038481 0.071900 0.041163 0.126224 0.130649 0.051491 0.125038 0.117293 0.235575 15.691900
0.238749 0.164733 -0.368989 -0.884044 -4.501140 0.009942 1.372280 6.298810 0.216437 0.152501 0.000147 0.019683 0.031201 0.061242 0.051078 0.058172 0.049674 0.133571 0.135861 0.071322 0.135352 0.131808 0.207927 14.798200
0.098498 0.193466 -0.420900 -0.556391 -5.180740 0.012514 1.517330 7.530760 0.223852 0.142820 0.000540 0.021011 0.038386 0.061019 0.049055 0.064525 0.038554 0.117560 0.127409 0.063338 0.117133 0.123357 0.171480 15.257300
0.041911 0.094516 -0.515087 -0.363610 -5.477680 0.010511 1.259750 7.523300 0.199317 0.142122 0.000065 0.022970 0.044054 0.064626 0.040670 0.052106 0.037252 0.121586 0.136601 0.054005 0.111992 0.150181 0.171286 14.233900
0.136516 0.126766 -0.397516 -0.551465 -5.416780 0.003859 1.064960 8.880410 0.239549 0.175007 0.000765 0.027019 0.033114 0.076259 0.057965 0.067821 0.042030 0.112333 0.138276 0.054392 0.099011 0.151385 0.166420 17.095000
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.008294 1.478460 7.590030 0.217890 0.145351 0.000347 0.021472 0.030828 0.066171 0.048223 0.055733 0.038504 0.108148 0.126962 0.067345 0.098609 0.127598 0.178032 14.246100
0.083579 0.252053 -0.506682 -0.839097 -4.383660 0.004033 1.271050 7.898220 0.222450 0.149300 0.000117 0.020096 0.052432 0.084803 0.038389 0.056523 0.046579 0.117828 0.130320 0.063225 0.095398 0.120513 0.206493 15.517800
0.026668 0.275737 -0.454300 -0.533740 -5.360750 0.010886 1.456090 8.453980 0.210199 0.136362 0.000340 0.016918 0.034899 0.084167 0.046330 0.051802 0.045644 0.137080 0.139751 0.055044 0.124676 0.114706 0.248706 15.173900
0.316731 0.118057 -0.331915 -0.992656 -4.580030 0.010359 1.331600 6.079570 0.247971 0.136847 0.000475 0.021405 0.028291 0.072629 0.048104 0.053275 0.045141 0.112121 0.117776 0.073904 0.110594 0.137681 0.157682 14.891100
-0.146383 0.498868 -0.500884 -0.469847 -5.446320 0.000015 1.362190 8.860790 0.237540 0.155469 0.000055 0.027249 0.034309 0.064544 0.049577 0.060669 0.040737 0.126033 0.134580 0.062387 0.119443 0.142593 0.195368 15.087700
0.167838 0.073880 -0.398695 -0.561848 -4.875830 0.015582 1.369330 6.405940 0.208044 0.149446 0.000217 0.019318 0.030300 0.060607 0.045982 0.050674 0.044502 0.131218 0.119105 0.066866 0.121120 0.123288 0.201442 14.058100
-0.231628 0.711395 -0.312208 -0.353078 -5.156680 0.018980 4.995760 0.290438 0.211297 0.173659 0.000307 0.020824 0.031888 0.056573 0.053607 0.074677 0.041286 0.150278 0.117634 0.050084 0.103456 0.152500 0.270715 15.557700
0.080719 0.095810 -0.486104 -0.377266 -5.750810 0.003214 1.078540 6.889050 0.239803 0.166049 0.000190 0.020529 0.033539 0.052254 0.048866 0.061201 0.040790 0.141505 0.145909 0.034057 0.127719 0.168069 0.205505 14.473300
0.083363 0.202105 -0.421506 -0.555642 -5.021470 0.005225 1.360650 7.669130 0.227357 0.154678 0.000205 0.022446 0.029455 0.063182 0.057168 0.055245 0.039756 0.123214 0.130440 0.069427 0.117851 0.133029 0.204795 14.633900
0.136681 0.065933 -0.435275 -0.505622 -5.806520 0.015795 2.945220 0.356726 0.224341 0.175815 0.000040 0.014577 0.045281 0.056666 0.041441 0.053153 0.048535 0.124792 0.149877 0.036765 0.104734 0.143535 0.218272 13.842600
0.044423 0.311860 -0.465042 -0.720867 -4.746920 0.008851 1.406150 6.607230 0.240330 0.150694 0.000270 0.019845 0.043332 0.052422 0.038419 0.064109 0.044210 0.137203 0.115416 0.061084 0.120143 0.142903 0.218029 14.793200
-0.018185 0.413511 -0.428504 -0.657735 -4.997030 0.027319 3.560650 0.115529 0.259546 0.164985 0.000650 0.028376 0.056436 0.060855 0.032127 0.071746 0.050175 0.142042 0.112839 0.069395 0.143974 0.144433 0.176277 17.704700
-0.003208 0.284518 -0.443337 -0.492217 -5.252010 0.016388 3.324720 0.255051 0.211363 0.179457 0.000120 0.023151 0.048104 0.062082 0.034953 0.064746 0.034455 0.125034 0.129343 0.045672 0.108028 0.149962 0.229843 14.521500
0.003179 0.268304 -0.456679 -0.451504 -5.503690 0.007885 1.451140 6.972100 0.249064 0.147314 0.000980 0.022070 0.034643 0.059650 0.046077 0.075562 0.039020 0.140284 0.136004 0.050158 0.129740 0.155647 0.196885 16.587200
-0.018909 0.434996 -0.405581 -0.590346 -5.070280 0.002739 1.202260 9.932450 0.214020 0.159566 0.000000 0.024264 0.032478 0.056980 0.040971 0.048702 0.037611 0.124838 0.120704 0.046730 0.095887 0.151267 0.239136 13.422300
-0.009712 0.617293 -0.218123 -0.788890 -4.815210 0.018456 4.515320 0.174677 0.250831 0.173288 0.000185 0.018387 0.026145 0.064090 0.054965 0.064774 0.040742 0.128792 0.126226 0.053110 0.124412 0.133545 0.221278 14.353700
-0.507241 1.288510 -0.228670 -0.187116 -5.988420 0.020384 6.602770 0.235597 0.257513 0.159229 0.001385 0.018710 0.034879 0.077346 0.046644 0.067144 0.050629 0.130873 0.150843 0.056715 0.115538 0.139468 0.283359 17.761900
0.141290 0.021288 -0.417763 -0.493515 -5.596470 0.014724 2.860030 0.372829 0.188152 0.174681 0.000602 0.020008 0.033579 0.061474 0.055297 0.046225 0.040300 0.141647 0.141916 0.049465 0.128071 0.149016 0.208589 15.281500
0.108507 0.122127 -0.457580 -0.542986 -5.309440 0.014512 2.632060 0.321203 0.196483 0.177433 0.000107 0.038608 0.042762 0.053722 0.047525 0.050278 0.046639 0.124014 0.142623 0.056795 0.092920 0.119687 0.230645 16.409100
0.146155 0.013542 -0.457580 -0.510900 -5.235380 0.014512 2.632060 0.689383 0.196483 0.177433 0.000595 0.016825 0.047580 0.068741 0.042844 0.059975 0.034023 0.122459 0.130092 0.053777 0.103889 0.144984 0.205569 15.039800
0.200889 -0.043449 -0.372322 -0.510080 -5.201060 0.024260 2.825530 0.156107 0.167221 0.156463 0.000527 0.021866 0.033010 0.073587 0.052656 0.053219 0.044460 0.151560 0.144247 0.064076 0.089273 0.149654 0.227658 16.159800
-0.033489 0.416526 -0.413337 -0.548200 -5.482600 0.000752 1.578710 8.958390 0.229521 0.158403 0.000300 0.025128 0.027582 0.060024 0.052848 0.069119 0.040872 0.134481 0.136178 0.052592 0.120489 0.140385 0.244569 15.392500
-0.018817 0.489345 -0.400638 -0.705667 -4.654490 0.024826 4.045020 0.199316 0.244656 0.156816 0.001080 0.017232 0.045925 0.060296 0.039145 0.062295 0.049434 0.141008 0.114067 0.067075 0.141397 0.132270 0.212793 16.728700
0.195986 -0.097160 -0.479862 -0.540647 -5.100390 0.012814 2.372960 0.167908 0.173635 0.183876 0.000295 0.020818 0.050847 0.058796 0.042115 0.050512 0.043873 0.131072 0.143366 0.037775 0.105335 0.114205 0.179610 15.150600
-0.321070 1.146070 -0.210726 -0.626389 -4.313660 0.024216 5.960030 0.353122 0.244041 0.152397 0.000100 0.016996 0.033666 0.058163 0.054450 0.062355 0.050367 0.136369 0.111352 0.071879 0.124285 0.144942 0.235410 14.812800
0.131627 0.417077 -0.211130 -0.893396 -4.719600 0.014118 3.932830 0.232094 0.231176 0.192695 0.000915 0.015072 0.033321 0.063128 0.056717 0.057206 0.044422 0.115497 0.124721 0.076800 0.113331 0.126098 0.210773 15.527800
0.100557 0.163490 -0.407591 -0.427054 -5.582280 0.007209 1.428830 6.574090 0.229227 0.145498 0.000152 0.019096 0.031909 0.061859 0.052095 0.066376 0.040042 0.127174 0.121560 0.050406 0.106321 0.156306 0.190349 14.452900
0.139970 -0.134516 -0.502044 -0.383458 -5.667700 0.015303 2.342360 0.622980 0.194602 0.161889 0.000280 0.022673 0.049051 0.053538 0.038380 0.057408 0.040343 0.121738 0.140374 0.041580 0.095730 0.128657 0.206341 14.761300
0.025283 0.289148 -0.447339 -0.505042 -5.547040 0.011015 1.626260 7.571340 0.241506 0.139638 0.000140 0.018122 0.034819 0.074674 0.048628 0.064149 0.045856 0.132917 0.140580 0.046001 0.130126 0.154911 0.184694 15.048800
-0.113228 0.506075 -0.467734 -0.545926 -5.268040 0.000837 1.850740 8.764900 0.224612 0.145369 0.000355 0.017046 0.043563 0.083212 0.045025 0.088022 0.039204 0.129129 0.128947 0.055875 0.120277 0.152961 0.231668 16.159700
-0.018936 0.256209 -0.472261 -0.266180 -5.914900 0.003389 1.448070 8.207930 0.215266 0.154333 0.000332 0.021069 0.030390 0.057302 0.061793 0.061034 0.041860 0.129729 0.133857 0.049008 0.099386 0.145833 0.230530 15.202300
-0.059388 0.416318 -0.463438 -0.544074 -5.232020 0.002629 1.372580 8.571240 0.238359 0.165945 0.000575 0.020403 0.038971 0.058782 0.049173 0.068425 0.041755 0.127700 0.129996 0.063223 0.121524 0.141745 0.205068 15.693200
0.199601 0.245886 -0.343804 -0.798263 -4.828000 0.005594 1.244360 9.794940 0.222610 0.156565 0.000580 0.016885 0.032410 0.054344 0.051904 0.051355 0.041055 0.132492 0.126197 0.074070 0.129272 0.160483 0.171350 14.516400
-0.026287 0.260559 -0.526266 -0.389524 -5.651040 0.008739 1.231230 8.547570 0.212899 0.139412 0.000617 0.022712 0.047575 0.073287 0.033089 0.047064 0.039704 0.136026 0.135923 0.039430 0.109212 0.124287 0.213639 15.584500
0.010234 0.368607 -0.476231 -0.744208 -5.052550 0.005686 1.653510 7.219110 0.230926 0.147959 0.000762 0.017821 0.049087 0.069473 0.036628 0.066037 0.040962 0.128372 0.115088 0.056476 0.119053 0.153536 0.183929 15.947700
-0.036708 0.489952 -0.415149 -0.715945 -5.010280 0.001844 1.326160 9.352340 0.279612 0.170194 0.000220 0.021967 0.031270 0.072422 0.041102 0.056970 0.051789 0.142813 0.114407 0.064445 0.136329 0.148867 0.191583 15.317200
0.131627 0.457209 -0.211130 -0.893396 -4.719600 0.014118 3.932830 0.232094 0.216525 0.192695 0.000167 0.023783 0.033545 0.085406 0.048546 0.067324 0.055794 0.124254 0.136697 0.072941 0.115600 0.120424 0.219394 16.440500
0.044590 0.187947 -0.464427 -0.452687 -5.287610 0.018397 1.575920 6.100580 0.213639 0.137416 0.000420 0.026344 0.040730 0.066962 0.043882 0.058492 0.039570 0.133491 0.137372 0.041401 0.111253 0.157692 0.220391 15.829100
-0.051561 0.500332 -0.405988 -0.571648 -5.674030 0.000259 1.425320 9.554620 0.294881 0.157011 0.000242 0.021239 0.027047 0.073283 0.057375 0.056320 0.041781 0.133469 0.132907 0.057246 0.116042 0.120752 0.195374 15.079800
-0.279704 0.842287 -0.259320 -0.431490 -5.931260 0.011400 5.100720 0.352306 0.320779 0.181205 0.000017 0.017471 0.035855 0.089529 0.049673 0.058993 0.046097 0.151974 0.128874 0.052637 0.161292 0.112460 0.196598 15.479100
0.154551 0.306207 -0.363633 -0.863016 -4.508160 0.006899 1.393300 8.191540 0.222425 0.149705 0.000097 0.019152 0.025470 0.061366 0.051210 0.054159 0.040448 0.128664 0.118555 0.068698 0.122257 0.156985 0.201909 13.658500
0.185755 0.031379 -0.409860 -0.548423 -5.264920 0.007060 1.075630 8.196880 0.192087 0.150900 0.000322 0.023617 0.030202 0.056218 0.056318 0.058086 0.040240 0.140501 0.140867 0.051444 0.111633 0.148841 0.230454 15.189300
0.053051 0.217826 -0.432116 -0.399572 -5.450790 0.010789 1.486480 7.571230 0.228191 0.151883 0.000592 0.019841 0.034797 0.067024 0.047053 0.062687 0.035296 0.127917 0.116237 0.051591 0.123408 0.162890 0.162966 15.086100
0.089707 0.044677 -0.487892 -0.422893 -5.811970 0.010807 1.063000 6.102660 0.224576 0.158901 0.000087 0.024864 0.051025 0.062498 0.041389 0.052427 0.046263 0.124740 0.145048 0.055367 0.117692 0.148499 0.180381 15.358500
